"id";"price";"amount";"id_provider";"id_ingredient"
"71";"5";"7";"5";"12"
"72";"5";"7";"6";"12"
"73";"5";"20";"1";"13"
"74";"5";"20";"2";"13"
"75";"4";"20";"3";"13"
"76";"4";"20";"4";"13"
"77";"5";"20";"5";"13"
"78";"5";"20";"6";"13"
"79";"9";"1";"1";"14"
"80";"10";"1";"2";"14"
"81";"10";"1";"3";"14"
"82";"9";"1";"4";"14"
"83";"9";"1";"5";"14"
"84";"9";"1";"6";"14"
"85";"30";"10";"1";"15"
"86";"30";"10";"2";"15"
"87";"40";"10";"3";"15"
"88";"30";"10";"4";"15"
"89";"30";"10";"5";"15"
"90";"30";"10";"6";"15"
"91";"10";"20";"1";"16"
"92";"10";"20";"2";"16"
"93";"12";"20";"3";"16"
"94";"11";"20";"4";"16"
"95";"10";"20";"5";"16"
"96";"10";"20";"6";"16"
"97";"15";"12";"1";"17"
"98";"15";"12";"2";"17"
"99";"16";"12";"3";"17"
"100";"15";"12";"4";"17"
"101";"15";"12";"5";"17"
"102";"15";"12";"6";"17"
"103";"3";"1";"1";"18"
"104";"3";"1";"2";"18"
"105";"3";"1";"3";"18"
"106";"3";"1";"4";"18"
"107";"3";"1";"5";"18"
"108";"3";"1";"6";"18"
"109";"6";"1";"1";"19"
"110";"3";"1";"2";"19"
"111";"4";"1";"3";"19"
"112";"3";"1";"4";"19"
"113";"3";"1";"5";"19"
"114";"3";"1";"6";"19"
"115";"60";"1";"1";"20"
"116";"50";"1";"2";"20"
"117";"40";"1";"3";"20"
"118";"50";"1";"4";"20"
"119";"50";"1";"5";"20"
"120";"50";"1";"6";"20"
"121";"30";"1";"1";"21"
"122";"26";"1";"2";"21"
"123";"25";"1";"3";"21"
"124";"25";"1";"4";"21"
"125";"26";"1";"5";"21"
"126";"25";"1";"6";"21"
"127";"4";"3";"1";"22"
"128";"4";"3";"2";"22"
"129";"4";"3";"3";"22"
"130";"5";"3";"4";"22"
"131";"5";"3";"5";"22"
"132";"5";"3";"6";"22"
"133";"3";"1";"1";"23"
"134";"2";"1";"2";"23"
"135";"1";"1";"3";"23"
"136";"1";"1";"4";"23"
"137";"2";"1";"5";"23"
"138";"3";"1";"6";"23"
"139";"2";"1";"1";"24"
"140";"2";"1";"2";"24"
"141";"2";"1";"3";"24"
"142";"2";"1";"4";"24"
"143";"2";"1";"5";"24"
"144";"2";"1";"6";"24"
"145";"12";"6";"1";"25"
"146";"11";"6";"2";"25"
"147";"11";"6";"3";"25"
"148";"12";"6";"4";"25"
"149";"12";"6";"5";"25"
"150";"12";"6";"6";"25"
"151";"3";"1";"1";"26"
"152";"2";"1";"2";"26"
"153";"3";"1";"3";"26"
"154";"2";"1";"4";"26"
"155";"3";"1";"5";"26"
"156";"3";"1";"6";"26"
"157";"8";"1";"1";"27"
"158";"7";"1";"2";"27"
"159";"7";"1";"3";"27"
"160";"7";"1";"4";"27"
"161";"7";"1";"5";"27"
"162";"7";"1";"6";"27"
"163";"10";"1";"1";"28"
"164";"9";"1";"2";"28"
"165";"8";"1";"3";"28"
"166";"8";"1";"4";"28"
"167";"9";"1";"5";"28"
"168";"9";"1";"6";"28"
"169";"10";"5";"1";"29"
"170";"10";"5";"2";"29"
"171";"10";"5";"3";"29"
"172";"10";"5";"4";"29"
"173";"10";"5";"5";"29"
"174";"10";"5";"6";"29"
"175";"3";"1";"1";"30"
"176";"4";"1";"2";"30"
"177";"3";"1";"3";"30"
"178";"3";"1";"4";"30"
"179";"4";"1";"5";"30"
"180";"3";"1";"6";"30"
"181";"9";"5";"1";"31"
"182";"5";"5";"2";"31"
"183";"6";"5";"3";"31"
"184";"6";"5";"4";"31"
"185";"5";"5";"5";"31"
"186";"5";"5";"6";"31"
"187";"4";"10";"1";"32"
"188";"3";"10";"2";"32"
"189";"3";"10";"3";"32"
"190";"2";"10";"4";"32"
"191";"2";"10";"5";"32"
"192";"3";"10";"6";"32"
"193";"5";"1";"1";"33"
"194";"6";"1";"2";"33"
"195";"5";"1";"3";"33"
"196";"5";"1";"4";"33"
"197";"5";"1";"5";"33"
"198";"4";"1";"6";"33"
"199";"11";"1";"1";"34"
"200";"11";"1";"2";"34"
"201";"15";"1";"3";"34"
"202";"15";"1";"4";"34"
"203";"14";"1";"5";"34"
"204";"14";"1";"6";"34"
"205";"1";"1";"1";"35"
"206";"1";"1";"2";"35"
"207";"1";"1";"3";"35"
"208";"1";"1";"4";"35"
"209";"1";"1";"5";"35"
"210";"2";"1";"6";"35"
"211";"5";"1";"1";"36"
"212";"6";"1";"2";"36"
"213";"5";"1";"3";"36"
"214";"5";"1";"4";"36"
"215";"5";"1";"5";"36"
"216";"5";"1";"6";"36"
"217";"2";"1";"1";"37"
"218";"2";"1";"2";"37"
"219";"2";"1";"3";"37"
"220";"2";"1";"4";"37"
"221";"2";"1";"5";"37"
"222";"2";"1";"6";"37"
"223";"3";"1";"1";"38"
"224";"3";"1";"2";"38"
"225";"3";"1";"3";"38"
"226";"3";"1";"4";"38"
"227";"3";"1";"5";"38"
"228";"3";"1";"6";"38"
"229";"2";"1";"1";"39"
"230";"2";"1";"2";"39"
"231";"2";"1";"3";"39"
"232";"2";"1";"4";"39"
"233";"2";"1";"5";"39"
"234";"2";"1";"6";"39"
"235";"10";"1";"1";"40"
"236";"10";"1";"2";"40"
"237";"10";"1";"3";"40"
"238";"11";"1";"4";"40"
"239";"12";"1";"5";"40"
"240";"10";"1";"6";"40"
"241";"12";"6";"1";"41"
"242";"12";"6";"2";"41"
"243";"11";"6";"3";"41"
"244";"12";"6";"4";"41"
"245";"12";"6";"5";"41"
"246";"12";"6";"6";"41"
"247";"60";"5";"1";"42"
"248";"50";"5";"2";"42"
"249";"50";"5";"3";"42"
"250";"50";"5";"4";"42"
"251";"40";"5";"5";"42"
"252";"50";"5";"6";"42"
"253";"2";"1";"1";"43"
"254";"2";"1";"2";"43"
"255";"2";"1";"3";"43"
"256";"2";"1";"4";"43"
"257";"2";"1";"5";"43"
"258";"2";"1";"6";"43"
"259";"3";"1";"1";"44"
"260";"2";"1";"2";"44"
"261";"2";"1";"3";"44"
"262";"2";"1";"4";"44"
"263";"2";"1";"5";"44"
"264";"2";"1";"6";"44"
"265";"9";"1";"1";"45"
"266";"9";"1";"2";"45"
"267";"7";"1";"3";"45"
"268";"8";"1";"4";"45"
"269";"9";"1";"5";"45"
"270";"9";"1";"6";"45"
"271";"5";"5";"1";"46"
"272";"4";"5";"2";"46"
"273";"5";"5";"3";"46"
"274";"4";"5";"4";"46"
"275";"5";"5";"5";"46"
"276";"5";"5";"6";"46"
"277";"7";"3";"1";"47"
"278";"6";"3";"2";"47"
"279";"7";"3";"3";"47"
"280";"7";"3";"4";"47"
"281";"7";"3";"5";"47"
"282";"7";"3";"6";"47"
"283";"5";"3";"1";"48"
"284";"6";"3";"2";"48"
"285";"6";"3";"3";"48"
"286";"5";"3";"4";"48"
"287";"6";"3";"5";"48"
"288";"5";"3";"6";"48"
"289";"3";"3";"1";"49"
"290";"3";"3";"2";"49"
"291";"3";"3";"3";"49"
"292";"3";"3";"4";"49"
"293";"3";"3";"5";"49"
"294";"3";"3";"6";"49"
"295";"7";"1";"1";"50"
"296";"8";"1";"2";"50"
"297";"7";"1";"3";"50"
"298";"6";"1";"4";"50"
"299";"6";"1";"5";"50"
"300";"7";"1";"6";"50"
"301";"25";"1";"1";"51"
"302";"20";"1";"2";"51"
"303";"20";"1";"3";"51"
"304";"20";"1";"4";"51"
"305";"20";"1";"5";"51"
"306";"20";"1";"6";"51"
"307";"3";"1";"1";"52"
"308";"3";"1";"2";"52"
"309";"3";"1";"3";"52"
"310";"2";"1";"4";"52"
"311";"2";"1";"5";"52"
"312";"2";"1";"6";"52"
"313";"10";"5";"1";"53"
"314";"20";"5";"2";"53"
"315";"15";"5";"3";"53"
"316";"12";"5";"4";"53"
"317";"10";"5";"5";"53"
"318";"10";"5";"6";"53"
"319";"7";"2";"1";"54"
"320";"7";"2";"2";"54"
"321";"7";"2";"3";"54"
"322";"7";"2";"4";"54"
"323";"7";"2";"5";"54"
"324";"7";"2";"6";"54"
"325";"2";"1";"2";"55"
"326";"3";"1";"2";"55"
"327";"2";"1";"3";"55"
"328";"3";"1";"4";"55"
"329";"2";"1";"5";"55"
"330";"2";"1";"6";"55"
"331";"2";"1";"1";"56"
"332";"4";"1";"2";"56"
"333";"3";"1";"3";"56"
"334";"3";"1";"4";"56"
"335";"2";"1";"5";"56"
"336";"2";"1";"6";"56"
"337";"3";"1";"1";"57"
"338";"1";"1";"2";"57"
"339";"3";"1";"3";"57"
"340";"3";"1";"4";"57"
"341";"3";"1";"5";"57"
"342";"3";"1";"6";"57"
"343";"2";"5";"1";"58"
"344";"2";"5";"2";"58"
"345";"2";"5";"3";"58"
"346";"1";"5";"4";"58"
"347";"1";"5";"5";"58"
"348";"1";"5";"6";"58"
"349";"6";"1";"1";"59"
"350";"7";"1";"2";"59"
"351";"8";"1";"3";"59"
"352";"8";"1";"4";"59"
"353";"9";"1";"5";"59"
"354";"9";"1";"6";"59"
"355";"2";"3";"1";"60"
"356";"6";"3";"2";"60"
"357";"5";"3";"3";"60"
"358";"4";"3";"4";"60"
"359";"4";"3";"5";"60"
"360";"4";"3";"6";"60"
"361";"15";"1";"1";"61"
"362";"15";"1";"2";"61"
"363";"14";"1";"3";"61"
"364";"16";"1";"4";"61"
"365";"15";"1";"5";"61"
"366";"15";"1";"6";"61"
"367";"31";"1";"1";"62"
"368";"30";"1";"2";"62"
"369";"30";"1";"3";"62"
"370";"30";"1";"4";"62"
"371";"30";"1";"5";"62"
"372";"30";"1";"6";"62"
"373";"9";"1";"1";"63"
"374";"8";"1";"2";"63"
"375";"7";"1";"3";"63"
"376";"6";"1";"4";"63"
"377";"6";"1";"5";"63"
"378";"6";"1";"6";"63"
"379";"20";"1";"1";"64"
"380";"15";"1";"2";"64"
"381";"15";"1";"3";"64"
"382";"15";"1";"4";"64"
"383";"15";"1";"5";"64"
"384";"15";"1";"6";"64"
"385";"150";"10";"1";"65"
"386";"90";"10";"2";"65"
"387";"110";"10";"3";"65"
"388";"120";"10";"4";"65"
"389";"100";"10";"5";"65"
"390";"100";"10";"6";"65"
"391";"5";"5";"1";"66"
"392";"4";"5";"2";"66"
"393";"3";"5";"3";"66"
"394";"4";"5";"4";"66"
"395";"4";"5";"5";"66"
"396";"4";"5";"6";"66"
"397";"7";"1";"1";"67"
"398";"5";"1";"2";"67"
"399";"8";"1";"3";"67"
"400";"8";"1";"4";"67"
"401";"7";"1";"5";"67"
"402";"7";"1";"6";"67"
"403";"3";"1";"1";"68"
"404";"5";"1";"2";"68"
"405";"3";"1";"3";"68"
"406";"4";"1";"4";"68"
"407";"3";"1";"5";"68"
"408";"3";"1";"6";"68"
"409";"3";"1";"1";"69"
"410";"3";"1";"2";"69"
"411";"2";"1";"3";"69"
"412";"3";"1";"4";"69"
"413";"3";"1";"5";"69"
"414";"3";"1";"6";"69"
"415";"6";"6";"1";"70"
"416";"5";"6";"2";"70"
"417";"4";"6";"3";"70"
"418";"5";"6";"4";"70"
"419";"5";"6";"5";"70"
"420";"5";"6";"6";"70"
"421";"6";"1";"2";"71"
"422";"8";"1";"3";"71"
"423";"7";"1";"3";"71"
"424";"6";"1";"4";"71"
"425";"6";"1";"5";"71"
"426";"6";"1";"6";"71"
"427";"5";"5";"1";"72"
"428";"5";"5";"2";"72"
"429";"7";"5";"3";"72"
"430";"8";"5";"4";"72"
"431";"8";"5";"5";"72"
"432";"7";"5";"6";"72"
"433";"8";"1";"1";"73"
"434";"7";"1";"2";"73"
"435";"9";"1";"3";"73"
"436";"8";"1";"4";"73"
"437";"7";"1";"5";"73"
"438";"8";"1";"6";"73"
"439";"2";"1";"1";"74"
"440";"3";"1";"2";"74"
"441";"2";"1";"3";"74"
"442";"3";"1";"4";"74"
"443";"2";"1";"5";"74"
"444";"3";"1";"6";"74"
"445";"6";"1";"1";"75"
"446";"6";"1";"2";"75"
"447";"5";"1";"3";"75"
"448";"5";"1";"4";"75"
"449";"6";"1";"5";"75"
"450";"6";"1";"6";"75"
"451";"14";"1";"1";"76"
"452";"14";"1";"2";"76"
"453";"15";"1";"3";"76"
"454";"15";"1";"4";"76"
"455";"15";"1";"5";"76"
"456";"15";"1";"6";"76"
